# Wavelength	Spectral Flux Density
# (nm)		(W/m^2/nm)
1160.000000	0.23625
1161.000000	0.28628
1162.000000	0.28839
1163.000000	0.38534
1164.000000	0.33086
1165.000000	0.32005
1166.000000	0.30884
1167.000000	0.33753
1168.000000	0.34541
1169.000000	0.34826
1170.000000	0.37746
1171.000000	0.36899
1172.000000	0.37434
1173.000000	0.37565
1174.000000	0.27787
1175.000000	0.37437
1176.000000	0.39437
1177.000000	0.39084
1178.000000	0.29843
1179.000000	0.40016
1180.000000	0.36491
1181.000000	0.37681
1182.000000	0.26816
1183.000000	0.36318
1184.000000	0.34782
1185.000000	0.33763
1186.000000	0.39499
1187.000000	0.37742
1188.000000	0.27802
1189.000000	0.34437
1190.000000	0.38289
1191.000000	0.37
1192.000000	0.39198
1193.000000	0.37635
1194.000000	0.38833
1195.000000	0.37028
1196.000000	0.35741
1197.000000	0.39507
1198.000000	0.35948
1199.000000	0.30258
1200.000000	0.37131
1201.000000	0.36216
1202.000000	0.36223
1203.000000	0.36144
1204.000000	0.30216
1205.000000	0.36382
1206.000000	0.40008
1207.000000	0.35797
1208.000000	0.36089
1209.000000	0.34492
1210.000000	0.37736
1211.000000	0.35165
1212.000000	0.35386
1213.000000	0.39077
1214.000000	0.36145
1215.000000	0.35629
1216.000000	0.38819
1217.000000	0.37902
1218.000000	0.38238
1219.000000	0.37188
1220.000000	0.38135
1221.000000	0.38857
1222.000000	0.37705
1223.000000	0.37096
1224.000000	0.37435
1225.000000	0.38619
1226.000000	0.39105
1227.000000	0.36186
1228.000000	0.38972
1229.000000	0.39028
1230.000000	0.38433
1231.000000	0.39498
1232.000000	0.39023
1233.000000	0.38001
1234.000000	0.39346
1235.000000	0.38922
1236.000000	0.3926
1237.000000	0.3879
1238.000000	0.39171
1239.000000	0.38733
1240.000000	0.38573
1241.000000	0.38677
1242.000000	0.3872
1243.000000	0.38311
1244.000000	0.38124
1245.000000	0.38232
1246.000000	0.38477
1247.000000	0.38313
1248.000000	0.38412
1249.000000	0.38502
1250.000000	0.38286
1251.000000	0.37915
1252.000000	0.3778
1253.000000	0.37514
1254.000000	0.37175
1255.000000	0.37764
1256.000000	0.36894
1257.000000	0.36486
1258.000000	0.37291
1259.000000	0.35987
1260.000000	0.3631
1261.000000	0.34669
1262.000000	0.33344
1263.000000	0.33726
1264.000000	0.3132
1265.000000	0.33348
1266.000000	0.32476
1267.000000	0.32721
1268.000000	0.31238
1269.000000	0.20831
1270.000000	0.32657
1271.000000	0.34397
1272.000000	0.34442
1273.000000	0.34231
1274.000000	0.34222
1275.000000	0.34743
1276.000000	0.3513
1277.000000	0.35391
1278.000000	0.36029
1279.000000	0.35774
1280.000000	0.35563
1281.000000	0.3483
1282.000000	0.31545
1283.000000	0.34446
1284.000000	0.35586
1285.000000	0.35859
1286.000000	0.36125
1287.000000	0.35707
1288.000000	0.35519
1289.000000	0.34669
1290.000000	0.34959
1291.000000	0.35385
1292.000000	0.33565
1293.000000	0.34945
1294.000000	0.3424
1295.000000	0.34321
1296.000000	0.33013
1297.000000	0.31475
1298.000000	0.33202
1299.000000	0.3461
1300.000000	0.29946
1301.000000	0.30718
1302.000000	0.33205
1303.000000	0.29364
1304.000000	0.25518
1305.000000	0.32536
1306.000000	0.32598
1307.000000	0.25972
1308.000000	0.29435
1309.000000	0.32571
1310.000000	0.2557
1311.000000	0.28316
1312.000000	0.28293
1313.000000	0.26615
1314.000000	0.24493
1315.000000	0.24278
1316.000000	0.27521
1317.000000	0.26509
1318.000000	0.28291
1319.000000	0.22925
1320.000000	0.22091
1321.000000	0.25485
1322.000000	0.25786
1323.000000	0.19889
1324.000000	0.22417
1325.000000	0.27492
1326.000000	0.23949
1327.000000	0.22738
1328.000000	0.20039
1329.000000	0.1519
1330.000000	0.19592
1331.000000	0.12395
1332.000000	0.12479
1333.000000	0.17365
1334.000000	0.14484
1335.000000	0.19763
1336.000000	0.15699
1337.000000	0.14084
1338.000000	0.15238
1339.000000	0.15133
1340.000000	0.14407
1341.000000	0.14588
1342.000000	0.15236
1343.000000	0.10892
1344.000000	0.064874
1345.000000	0.093475
1346.000000	0.049922
1347.000000	0.051582
1348.000000	0.0040747
1349.000000	0.013933
1350.000000	0.013818
1351.000000	0.0039932
1352.000000	0.001308
1353.000000	8.2897e-05
1354.000000	0.00025026
1355.000000	3.1089e-06
1356.000000	4.1475e-05
1357.000000	6.1941e-05
1358.000000	3.6199e-06
1359.000000	6.3379e-07
1360.000000	1.8473e-06
1361.000000	4.1544e-09
1362.000000	1.5603e-11
1363.000000	2.7246e-06
1364.000000	1.1732e-06
1365.000000	7.8361e-12
1366.000000	1.1044e-05
1367.000000	4.2967e-06
1368.000000	1.2767e-13
1369.000000	4.4615e-07
1370.000000	2.5218e-07
1371.000000	1.7041e-08
1372.000000	2.3752e-06
1373.000000	3.8355e-05
1374.000000	0.00015479
1375.000000	0.00027932
1376.000000	0.00022246
1377.000000	0.00010601
1378.000000	0.00095826
1379.000000	4.5083e-05
1380.000000	7.0518e-05
1381.000000	2.0583e-06
1382.000000	2.2282e-06
1383.000000	3.8208e-08
1384.000000	5.3551e-07
1385.000000	1.8144e-06
1386.000000	2.1894e-06
1387.000000	0.00017278
1388.000000	3.4968e-06
1389.000000	0.00050466
1390.000000	0.0004285
1391.000000	0.0002987
1392.000000	2.0661e-05
1393.000000	0.00010067
1394.000000	6.5632e-05
1395.000000	5.8348e-07
1396.000000	5.4945e-09
1397.000000	4.2643e-05
1398.000000	0.0011044
1399.000000	0.00070619
1400.000000	2.8229e-09
1401.000000	9.1539e-09
1402.000000	0.001596
1403.000000	0.00207
1404.000000	0.00064276
1405.000000	3.1706e-07
1406.000000	0.0017791
1407.000000	0.0001519
1408.000000	0.0014353
1409.000000	0.00053889
1410.000000	0.00040607
1411.000000	0.0018403
1412.000000	0.0022977
1413.000000	0.020406
1414.000000	0.00031799
1415.000000	0.00016057
1416.000000	0.031082
1417.000000	0.01028
1418.000000	0.011855
1419.000000	0.0018752
1420.000000	0.007234
1421.000000	0.0080146
1422.000000	0.040491
1423.000000	0.0080648
1424.000000	0.014849
1425.000000	0.022611
1426.000000	0.024311
1427.000000	0.04333
1428.000000	0.0039894
1429.000000	0.033262
1430.000000	0.053881
1431.000000	0.04388
1432.000000	0.0022055
1433.000000	0.03136
1434.000000	0.018349
1435.000000	0.018748
1436.000000	0.033568
1437.000000	0.026157
1438.000000	0.011613
1439.000000	0.044672
1440.000000	0.034667
1441.000000	0.027842
1442.000000	0.031797
1443.000000	0.039452
1444.000000	0.054089
1445.000000	0.043558
1446.000000	0.020306
1447.000000	0.031838
1448.000000	0.1016
1449.000000	0.089717
1450.000000	0.024104
1451.000000	0.0099129
1452.000000	0.054817
1453.000000	0.072048
1454.000000	0.12083
1455.000000	0.05815
1456.000000	0.077785
1457.000000	0.10279
1458.000000	0.11983
1459.000000	0.14319
1460.000000	0.075079
1461.000000	0.079345
1462.000000	0.11473
1463.000000	0.038014
1464.000000	0.13335
1465.000000	0.082076
1466.000000	0.057327
1467.000000	0.031714
1468.000000	0.067646
1469.000000	0.08337
1470.000000	0.043694
1471.000000	0.015704
1472.000000	0.041138
1473.000000	0.061724
1474.000000	0.085556
1475.000000	0.16209
