# Wavelength	Extinction
# (nm)		(mag)
785.000000	0.2966
786.000000	0.2966
787.000000	0.2966
788.000000	0.2966
789.000000	0.2966
790.000000	0.2966
791.000000	0.2966
792.000000	0.2966
793.000000	0.2966
794.000000	0.2966
795.000000	0.2864
796.000000	0.2864
797.000000	0.2864
798.000000	0.2864
799.000000	0.2864
800.000000	0.2864
801.000000	0.2864
802.000000	0.2864
803.000000	0.2823
804.000000	0.2823
805.000000	0.2823
806.000000	0.2823
807.000000	0.2823
808.000000	0.2823
809.000000	0.2823
810.000000	0.2823
811.000000	0.2823
812.000000	0.2823
813.000000	0.2765
814.000000	0.2765
815.000000	0.2765
816.000000	0.2765
817.000000	0.2765
818.000000	0.2765
819.000000	0.2765
820.000000	0.2765
821.000000	0.2765
822.000000	0.2765
823.000000	0.2765
824.000000	0.2765
825.000000	0.2765
826.000000	0.2765
827.000000	0.2765
828.000000	0.2765
829.000000	0.2765
830.000000	0.2765
831.000000	0.2765
832.000000	0.2669
833.000000	0.2669
834.000000	0.2669
835.000000	0.2669
836.000000	0.2669
837.000000	0.2669
838.000000	0.2669
839.000000	0.2669
840.000000	0.2669
841.000000	0.2669
842.000000	0.2669
843.000000	0.2669
844.000000	0.2669
845.000000	0.2669
846.000000	0.2669
847.000000	0.2669
848.000000	0.2669
849.000000	0.2669
850.000000	0.2669
851.000000	0.2669
852.000000	0.2576
853.000000	0.2576
854.000000	0.2576
855.000000	0.2576
856.000000	0.2576
857.000000	0.2576
858.000000	0.2576
859.000000	0.2576
860.000000	0.2576
861.000000	0.2576
862.000000	0.2576
863.000000	0.2576
864.000000	0.2576
865.000000	0.2576
866.000000	0.251
867.000000	0.251
868.000000	0.251
869.000000	0.251
870.000000	0.251
871.000000	0.2485
872.000000	0.2485
873.000000	0.2485
874.000000	0.2485
875.000000	0.2485
876.000000	0.2485
877.000000	0.2485
878.000000	0.2485
879.000000	0.2485
880.000000	0.2485
881.000000	0.2485
882.000000	0.2485
883.000000	0.2485
884.000000	0.2485
885.000000	0.2485
886.000000	0.2485
887.000000	0.2485
888.000000	0.2485
889.000000	0.2485
890.000000	0.2485
891.000000	0.2485
892.000000	0.2398
893.000000	0.2398
894.000000	0.239
895.000000	0.239
896.000000	0.239
897.000000	0.239
898.000000	0.239
899.000000	0.239
900.000000	0.239
901.000000	0.239
902.000000	0.239
903.000000	0.239
904.000000	0.239
905.000000	0.239
906.000000	0.239
907.000000	0.239
908.000000	0.239
909.000000	0.239
910.000000	0.239
911.000000	0.239
912.000000	0.239
913.000000	0.2312
914.000000	0.2312
915.000000	0.2312
916.000000	0.2312
917.000000	0.2312
918.000000	0.2312
919.000000	0.2312
920.000000	0.2312
921.000000	0.2312
922.000000	0.2312
923.000000	0.2312
924.000000	0.2312
925.000000	0.2312
926.000000	0.2312
927.000000	0.2312
928.000000	0.2312
929.000000	0.2312
930.000000	0.2312
931.000000	0.2312
932.000000	0.2312
933.000000	0.2312
934.000000	0.2229
935.000000	0.2229
936.000000	0.2229
937.000000	0.2229
938.000000	0.2229
939.000000	0.2229
940.000000	0.2229
941.000000	0.2229
942.000000	0.2229
943.000000	0.2229
944.000000	0.2229
945.000000	0.2229
946.000000	0.2229
947.000000	0.2229
948.000000	0.2229
949.000000	0.2229
950.000000	0.2229
951.000000	0.2229
952.000000	0.2229
953.000000	0.2229
954.000000	0.2229
955.000000	0.2149
956.000000	0.2149
957.000000	0.2149
958.000000	0.2149
959.000000	0.2149
960.000000	0.2149
961.000000	0.2149
962.000000	0.2149
963.000000	0.2149
964.000000	0.2149
965.000000	0.2149
966.000000	0.2149
967.000000	0.2149
968.000000	0.2149
969.000000	0.2149
970.000000	0.2149
971.000000	0.2149
972.000000	0.2149
973.000000	0.2149
974.000000	0.2149
975.000000	0.2149
976.000000	0.2149
977.000000	0.2149
978.000000	0.2071
979.000000	0.2071
980.000000	0.2071
981.000000	0.2071
982.000000	0.2071
983.000000	0.2071
984.000000	0.2071
985.000000	0.2071
986.000000	0.2071
987.000000	0.2071
988.000000	0.2071
989.000000	0.2071
990.000000	0.2071
991.000000	0.2071
992.000000	0.2071
993.000000	0.2071
994.000000	0.2071
995.000000	0.2071
996.000000	0.2071
997.000000	0.2071
998.000000	0.2071
999.000000	0.2071
1000.000000	0.2071
1001.000000	0.1995
1002.000000	0.1995
1003.000000	0.1995
1004.000000	0.1995
1005.000000	0.1995
1006.000000	0.1995
1007.000000	0.1995
1008.000000	0.1995
1009.000000	0.1995
1010.000000	0.1995
1011.000000	0.1995
1012.000000	0.1995
1013.000000	0.1995
1014.000000	0.1995
1015.000000	0.1995
1016.000000	0.1995
1017.000000	0.1995
1018.000000	0.1995
1019.000000	0.1995
1020.000000	0.1995
1021.000000	0.1995
1022.000000	0.1995
1023.000000	0.1995
1024.000000	0.1922
1025.000000	0.1922
1026.000000	0.1922
1027.000000	0.1922
1028.000000	0.1922
1029.000000	0.1922
1030.000000	0.1922
1031.000000	0.1922
1032.000000	0.1922
1033.000000	0.1922
1034.000000	0.1922
1035.000000	0.1922
1036.000000	0.1922
1037.000000	0.1922
1038.000000	0.1922
1039.000000	0.1922
1040.000000	0.1922
1041.000000	0.1922
1042.000000	0.1922
1043.000000	0.1922
1044.000000	0.1922
1045.000000	0.1922
1046.000000	0.1922
1047.000000	0.1922
1048.000000	0.1852
1049.000000	0.1852
1050.000000	0.1852
1051.000000	0.1852
1052.000000	0.1852
1053.000000	0.1852
1054.000000	0.1852
1055.000000	0.1852
1056.000000	0.1852
1057.000000	0.1852
1058.000000	0.1852
1059.000000	0.1852
1060.000000	0.1852
1061.000000	0.1852
1062.000000	0.1852
1063.000000	0.1852
1064.000000	0.1852
1065.000000	0.1852
1066.000000	0.1852
1067.000000	0.1852
1068.000000	0.1852
1069.000000	0.1852
1070.000000	0.1852
1071.000000	0.1852
1072.000000	0.1785
1073.000000	0.1785
1074.000000	0.1785
1075.000000	0.1785
1076.000000	0.1785
1077.000000	0.1785
1078.000000	0.1785
